# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1772403532608000000,1772403538092000000,28
FileNameCache.fastMisses,1772403532608000000,1772403538092000000,10
FileNameCache.totalMisses,1772403532608000000,1772403538092000000,9
workspaceModel.init.bridges.ms,1772403532608000000,1772403538092000000,0
workspaceModel.loading.from.cache.ms,1772403532608000000,1772403538092000000,9
workspaceModel.updates.precise.ms,1772403532608000000,1772403538092000000,0
workspaceModel.update.unloaded.entities.ms,1772403532608000000,1772403538092000000,0
workspaceModel.updates.count,1772403532608000000,1772403538092000000,0
workspaceModel.to.snapshot.ms,1772403532608000000,1772403538092000000,0
workspaceModel.replace.project.model.ms,1772403532608000000,1772403538092000000,0
workspaceModel.initializing.ms,1772403532608000000,1772403538092000000,0
workspaceModel.collect.changes.ms,1772403532608000000,1772403538092000000,0
workspaceModel.updates.ms,1772403532608000000,1772403538092000000,0
workspaceModel.check.recursive.update.ms,1772403532608000000,1772403538092000000,0
workspaceModel.pre.handlers.ms,1772403532608000000,1772403538092000000,0
workspaceModel.loading.total.ms,1772403532608000000,1772403538092000000,12
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772403532608000000,1772403538092000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772403532608000000,1772403538092000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772403532608000000,1772403538092000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772403532608000000,1772403538092000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772403532608000000,1772403538092000000,0
workspaceModel.load.cache.from.file.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1772403532608000000,1772403538092000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772403532608000000,1772403538092000000,3
workspaceModel.save.cache.to.file.ms,1772403532608000000,1772403538092000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772403532608000000,1772403538092000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772403532608000000,1772403538092000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772403532608000000,1772403538092000000,0
AWTEventQueue.dispatchTimeTotalNS,1772403532608000000,1772403538092000000,4468030873
NonBlockingReadAction.finalizedExecutionsCount,1772403532608000000,1772403538092000000,15
NonBlockingReadAction.finalizedExecutionTimeUs,1772403532608000000,1772403538092000000,168735
NonBlockingReadAction.failedExecutionsCount,1772403532608000000,1772403538092000000,0
NonBlockingReadAction.failedExecutionTimeUs,1772403532608000000,1772403538092000000,0
DirectByteBufferAllocator.hits,1772403532608000000,1772403538092000000,3
FilePageCache.maxRegisteredFiles,1772403532608000000,1772403538092000000,612
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772403532608000000,1772403538092000000,52445184
FilePageCache.pageFastCacheHits,1772403532608000000,1772403538092000000,4504
StorageLockContext.competingThreads.90P,1772403532608000000,1772403538092000000,0
FilePageCache.totalPageLoadsUs,1772403532608000000,1772403538092000000,119319
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772403532608000000,1772403538092000000,52445184
FilePageCache.maxCacheSizeInBytes,1772403532608000000,1772403538092000000,244334592
FilePageCache.pageHits,1772403532608000000,1772403538092000000,0
FilePageCache.totalPageDisposalsUs,1772403532608000000,1772403538092000000,298
FilePageCache.pageLoads,1772403532608000000,1772403538092000000,229
FilePageCache.disposedBuffers,1772403532608000000,1772403538092000000,229
FilePageCache.capacityInBytes,1772403532608000000,1772403538092000000,524288000
FilePageCache.uncachedFileAccess,1772403532608000000,1772403538092000000,120
StorageLockContext.competingThreads.max,1772403532608000000,1772403538092000000,0
DirectByteBufferAllocator.disposed,1772403532608000000,1772403538092000000,183
DirectByteBufferAllocator.misses,1772403532608000000,1772403538092000000,226
StorageLockContext.competingThreads.avg,1772403532608000000,1772403538092000000,0.0
DirectByteBufferAllocator.reclaimed,1772403532608000000,1772403538092000000,46
FilePageCache.pageLoadsAboveSizeThreshold,1772403532608000000,1772403538092000000,0
